site,title,instructor,description,url,price,tags,rating,thumbnail_url,is_package,is_free,enrollment_count
인프런,자바 코딩테스트 - it 대기업 대비,김태원,,https://www.inflearn.com/course/%EC%9E%90%EB%B0%94-%EC%BD%94%EB%94%A9%ED%85%8C%EC%8A%A4%ED%8A%B8-%EC%B5%9C%EC%8B%A0%EA%B8%B0%EC%B6%9C,80000,"알고리즘,자료구조,프로그래밍 언어,java,코딩 테스트,초급",0.0,https://www.google.com/url?sa=i&url=https%3A%2F%2Fin.naver.com%2Finflearn&psig=AOvVaw3sQrpgV2EzIZhQwrZJVrFF&ust=1683314596419000&source=images&cd=vfe&ved=0CBEQjRxqFwoTCJC329ax3P4CFQAAAAAdAAAAABAY,False,False,0.0
인프런,"실무에서 사용하는 클라우드 프로그래밍 (AWS, Python, Terraform, 보안)",천강민,,https://www.inflearn.com/course/%EC%8B%A4%EB%AC%B4-%ED%81%B4%EB%9D%BC%EC%9A%B0%EB%93%9C-%EB%B3%B4%EC%95%88-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%98%EB%B0%8D,60000,"보안,데브옵스,인프라,python,terraform,aws,devsecops,초급",5.0,https://www.google.com/url?sa=i&url=https%3A%2F%2Fin.naver.com%2Finflearn&psig=AOvVaw3sQrpgV2EzIZhQwrZJVrFF&ust=1683314596419000&source=images&cd=vfe&ved=0CBEQjRxqFwoTCJC329ax3P4CFQAAAAAdAAAAABAY,False,False,0.0
인프런,[인프런x코드캠프] 부트캠프에서 만든 고농축 백엔드 코스,코드캠프,,https://www.inflearn.com/course/%EB%B6%80%ED%8A%B8%EC%BA%A0%ED%94%84-%EB%B0%B1%EC%97%94%EB%93%9C-%EA%B3%A0%EB%86%8D%EC%B6%95-%EC%BD%94%EC%8A%A4,360000,"백엔드,웹 개발,nestjs,node.js,javascript,docker,tdd,express,rest api,입문",4.807692307692308,https://www.google.com/url?sa=i&url=https%3A%2F%2Fin.naver.com%2Finflearn&psig=AOvVaw3sQrpgV2EzIZhQwrZJVrFF&ust=1683314596419000&source=images&cd=vfe&ved=0CBEQjRxqFwoTCJC329ax3P4CFQAAAAAdAAAAABAY,False,False,0.0
인프런,[인프런x코드캠프] 부트캠프에서 만든 고농축 프론트엔드 코스,코드캠프,,https://www.inflearn.com/course/%EB%B6%80%ED%8A%B8%EC%BA%A0%ED%94%84-%ED%94%84%EB%A1%A0%ED%8A%B8%EC%97%94%EB%93%9C-%EA%B3%A0%EB%86%8D%EC%B6%95-%EC%BD%94%EC%8A%A4,360000,"프론트엔드,웹 개발,react,next.js,graphql,seo,node.js,입문",4.885714285714286,https://www.google.com/url?sa=i&url=https%3A%2F%2Fin.naver.com%2Finflearn&psig=AOvVaw3sQrpgV2EzIZhQwrZJVrFF&ust=1683314596419000&source=images&cd=vfe&ved=0CBEQjRxqFwoTCJC329ax3P4CFQAAAAAdAAAAABAY,False,False,0.0
인프런,[중급편] 코인 가격 모니터링 앱 제작 (Android Kotlin),개복치개발자,,https://www.inflearn.com/course/%EC%95%88%EB%93%9C%EB%A1%9C%EC%9D%B4%EB%93%9C-%EC%BD%94%ED%8B%80%EB%A6%B0-%EB%AA%A8%EB%8B%88%ED%84%B0%EB%A7%81%EC%95%B1,60000,"모바일 앱 개발,kotlin,android,중급이상",5.0,https://www.google.com/url?sa=i&url=https%3A%2F%2Fin.naver.com%2Finflearn&psig=AOvVaw3sQrpgV2EzIZhQwrZJVrFF&ust=1683314596419000&source=images&cd=vfe&ved=0CBEQjRxqFwoTCJC329ax3P4CFQAAAAAdAAAAABAY,False,False,0.0
인프런,[인프런x코드캠프] 시작은 프리캠프,코드캠프,,https://www.inflearn.com/course/%EC%8B%9C%EC%9E%91-%ED%94%84%EB%A6%AC%EC%BA%A0%ED%94%84-%EC%BD%94%EB%93%9C%EC%BA%A0%ED%94%84,20000,"웹 개발,프론트엔드,html/css,javascript,입문",4.852459016393443,https://www.google.com/url?sa=i&url=https%3A%2F%2Fin.naver.com%2Finflearn&psig=AOvVaw3sQrpgV2EzIZhQwrZJVrFF&ust=1683314596419000&source=images&cd=vfe&ved=0CBEQjRxqFwoTCJC329ax3P4CFQAAAAAdAAAAABAY,False,False,0.0
인프런,실리콘밸리 엔지니어가 가르치는 파이썬 기초부터 고급까지,Seungjoon Lee,,https://www.inflearn.com/course/%EC%8B%A4%EB%A6%AC%EC%BD%98%EB%B0%B8%EB%A6%AC-%ED%8C%8C%EC%9D%B4%EC%8D%AC-%EA%B8%B0%EC%B4%88%EB%B6%80%ED%84%B0-%EA%B3%A0%EA%B8%89%EA%B9%8C%EC%A7%80,55000,"프로그래밍 언어,python,알고리즘,입문",5.0,https://www.google.com/url?sa=i&url=https%3A%2F%2Fin.naver.com%2Finflearn&psig=AOvVaw3sQrpgV2EzIZhQwrZJVrFF&ust=1683314596419000&source=images&cd=vfe&ved=0CBEQjRxqFwoTCJC329ax3P4CFQAAAAAdAAAAABAY,False,False,0.0
인프런,누구나 할 수 있는 - SwiftUI Basic with iOS 16,Jacob,,https://www.inflearn.com/course/%EB%88%84%EA%B5%AC%EB%82%98-swiftui-ios16,70000,"모바일 앱 개발,ios,swiftui,swift,초급",5.0,https://www.google.com/url?sa=i&url=https%3A%2F%2Fin.naver.com%2Finflearn&psig=AOvVaw3sQrpgV2EzIZhQwrZJVrFF&ust=1683314596419000&source=images&cd=vfe&ved=0CBEQjRxqFwoTCJC329ax3P4CFQAAAAAdAAAAABAY,False,False,0.0
인프런,곰책으로 쉽게 배우는 최소한의 운영체제론,널널한 개발자,,https://www.inflearn.com/course/%EA%B3%B0%EC%B1%85-%EC%89%BD%EA%B2%8C-%EB%B0%B0%EC%9A%B0%EB%8A%94-%EC%9A%B4%EC%98%81%EC%B2%B4%EC%A0%9C,10000,"교양,기타,시스템,운영체제,입문",5.0,https://www.google.com/url?sa=i&url=https%3A%2F%2Fin.naver.com%2Finflearn&psig=AOvVaw3sQrpgV2EzIZhQwrZJVrFF&ust=1683314596419000&source=images&cd=vfe&ved=0CBEQjRxqFwoTCJC329ax3P4CFQAAAAAdAAAAABAY,False,False,0.0
인프런,외워서 끝내는 네트워크 핵심이론 - 기초,널널한 개발자,,https://www.inflearn.com/course/%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%81%AC-%ED%95%B5%EC%8B%AC%EC%9D%B4%EB%A1%A0-%EA%B8%B0%EC%B4%88,70000,"네트워크,교양,기타,웹 개발,네트워크,프로토콜,입문",4.967032967032967,https://www.google.com/url?sa=i&url=https%3A%2F%2Fin.naver.com%2Finflearn&psig=AOvVaw3sQrpgV2EzIZhQwrZJVrFF&ust=1683314596419000&source=images&cd=vfe&ved=0CBEQjRxqFwoTCJC329ax3P4CFQAAAAAdAAAAABAY,False,False,0.0
